Auction 100, won by: C, price paid: 70.0
Auction 164, won by: C, price paid: 28.0
Auction 165, won by: A, price paid: 28.0
Auction 166, won by: B, price paid: 34.0
Auction 167, won by: C, price paid: 8.0
Auction 168, won by: A, price paid: 5.0
Auction 169, won by: A, price paid: 8.0
Auction 170, won by: B, price paid: 5.0
Auction 171, won by: A, price paid: 10.0
Auction 172, won by: A, price paid: 21.0
Auction 173, won by: A, price paid: 10.0
Auction 174, won by: A, price paid: 5.0
Auction 175, won by: C, price paid: 9.0
Auction 176, won by: C, price paid: 20.0
Auction 177, won by: B, price paid: 8.0
Auction 178, won by: C, price paid: 6.0
Auction 179, won by: A, price paid: 41.0
Auction 180, won by: C, price paid: 32.0
Auction 181, won by: B, price paid: 11.0
Auction 182, won by: B, price paid: 18.0
Auction 183, won by: A, price paid: 8.0
Auction 184, won by: C, price paid: 9.0
Auction 185, won by: C, price paid: 13.0
Auction 186, won by: A, price paid: 21.0
Auction 187, won by: C, price paid: 13.0
Auction 188, won by: B, price paid: 13.0
Auction 189, won by: B, price paid: 16.0
Auction 190, won by: A, price paid: 14.0
Auction 191, won by: A, price paid: 31.0
Auction 192, won by: A, price paid: 10.0
Auction 193, won by: C, price paid: 11.0
Auction 194, won by: B, price paid: 17.0
Auction 195, won by: B, price paid: 10.0
Auction 196, won by: C, price paid: 10.0
Auction 197, won by: C, price paid: 8.0
Auction 198, won by: A, price paid: 9.0
Auction 199, won by: A, price paid: 12.0
Auction 200, won by: C, price paid: 11.0
Auction 201, won by: B, price paid: 26.0
Auction 202, won by: C, price paid: 13.0
Auction 203, won by: C, price paid: 13.0
Auction 204, won by: B, price paid: 10.0
Auction 205, won by: C, price paid: 11.0
Auction 206, won by: B, price paid: 15.0
Auction 207, won by: B, price paid: 17.0
Auction 208, won by: A, price paid: 29.0
Auction 209, won by: A, price paid: 26.0
Auction 210, won by: B, price paid: 3.0
Auction 211, won by: A, price paid: 15.0
Auction 212, won by: B, price paid: 10.0
Auction 213, won by: A, price paid: 10.0
Auction 214, won by: C, price paid: 15.0
Auction 215, won by: C, price paid: 10.0
Auction 216, won by: A, price paid: 12.0
Auction 217, won by: C, price paid: 9.0
Auction 218, won by: B, price paid: 8.0
Auction 219, won by: B, price paid: 14.0
Auction 220, won by: A, price paid: 5.0
Auction 221, won by: A, price paid: 6.0
Auction 222, won by: B, price paid: 22.0
Auction 223, won by: C, price paid: 34.0
Auction 224, won by: C, price paid: 72.0
Auction 225, won by: B, price paid: 11.0
Auction 226, won by: A, price paid: 6.0
Auction 227, won by: B, price paid: 17.0
Auction 228, won by: B, price paid: 27.0
Auction 229, won by: A, price paid: 36.0
Auction 230, won by: C, price paid: 10.0
Auction 231, won by: C, price paid: 6.0
Auction 232, won by: B, price paid: 10.0
Auction 233, won by: B, price paid: 18.0
Auction 234, won by: A, price paid: 11.0
Auction 235, won by: C, price paid: 22.0
Auction 236, won by: B, price paid: 9.0
Auction 237, won by: C, price paid: 5.0
Auction 238, won by: A, price paid: 33.0
Auction 239, won by: B, price paid: 23.0
Auction 240, won by: A, price paid: 8.0
Auction 241, won by: A, price paid: 7.0
Auction 242, won by: C, price paid: 10.0
Auction 243, won by: A, price paid: 31.0
Auction 244, won by: A, price paid: 9.0
Auction 245, won by: B, price paid: 8.0
Auction 246, won by: C, price paid: 14.0
Auction 247, won by: C, price paid: 21.0
Auction 248, won by: A, price paid: 7.0
Auction 249, won by: A, price paid: 18.0
Auction 250, won by: C, price paid: 8.0
Auction 251, won by: B, price paid: 17.0
Auction 252, won by: B, price paid: 18.0
Auction 253, won by: A, price paid: 11.0
Auction 254, won by: C, price paid: 14.0
Auction 255, won by: A, price paid: 15.0
Auction 256, won by: C, price paid: 11.0
Auction 257, won by: C, price paid: 13.0
Auction 258, won by: B, price paid: 12.0
Auction 259, won by: A, price paid: 11.0
Auction 260, won by: A, price paid: 13.0
Auction 261, won by: B, price paid: 4.0
Auction 262, won by: B, price paid: 8.0
Auction 263, won by: C, price paid: 9.0
Auction 264, won by: B, price paid: 11.0
Auction 265, won by: B, price paid: 12.0
Auction 266, won by: B, price paid: 11.0
Auction 267, won by: A, price paid: 4.0
Auction 268, won by: C, price paid: 18.0
Auction 269, won by: C, price paid: 42.0
Auction 270, won by: C, price paid: 18.0
Auction 271, won by: C, price paid: 4.0
Auction 272, won by: B, price paid: 12.0
Auction 273, won by: A, price paid: 24.0
Auction 274, won by: B, price paid: 10.0
Auction 275, won by: A, price paid: 20.0
Auction 276, won by: C, price paid: 10.0
Auction 277, won by: C, price paid: 18.0
Auction 278, won by: A, price paid: 94.0
Auction 279, won by: B, price paid: 13.0
Auction 280, won by: C, price paid: 12.0
Auction 281, won by: C, price paid: 16.0
Auction 282, won by: C, price paid: 12.0
Auction 283, won by: A, price paid: 5.0
Auction 284, won by: A, price paid: 26.0
Auction 285, won by: B, price paid: 19.0
Auction 286, won by: C, price paid: 21.0
Auction 287, won by: A, price paid: 13.0
Auction 288, won by: C, price paid: 12.0
Auction 289, won by: B, price paid: 33.0
Auction 290, won by: A, price paid: 16.0
Auction 291, won by: C, price paid: 30.0
Auction 292, won by: A, price paid: 13.0
Auction 293, won by: A, price paid: 18.0
Auction 294, won by: C, price paid: 70.0
Auction 295, won by: B, price paid: 11.0
Auction 296, won by: C, price paid: 13.0
Auction 297, won by: C, price paid: 32.0
Auction 298, won by: A, price paid: 16.0
Auction 299, won by: B, price paid: 34.0
Auction 300, won by: C, price paid: 12.0
Auction 301, won by: A, price paid: 30.0
Auction 302, won by: B, price paid: 24.0
Auction 303, won by: B, price paid: 9.0
Auction 304, won by: C, price paid: 23.0
Auction 305, won by: C, price paid: 16.0
Auction 306, won by: A, price paid: 14.0
Auction 307, won by: B, price paid: 29.0
Auction 308, won by: A, price paid: 6.0
Auction 309, won by: A, price paid: 18.0
Auction 310, won by: B, price paid: 11.0
Auction 311, won by: A, price paid: 75.0
Auction 312, won by: A, price paid: 7.0
Auction 313, won by: C, price paid: 13.0
Auction 314, won by: C, price paid: 8.0
Auction 315, won by: A, price paid: 23.0
Auction 316, won by: A, price paid: 4.0
Auction 317, won by: C, price paid: 17.0
Auction 318, won by: B, price paid: 18.0
Auction 319, won by: A, price paid: 17.0
Auction 320, won by: A, price paid: 20.0
Auction 321, won by: C, price paid: 6.0
Auction 322, won by: C, price paid: 18.0
Auction 323, won by: A, price paid: 10.0
Auction 324, won by: C, price paid: 12.0
Auction 325, won by: C, price paid: 13.0
Auction 326, won by: C, price paid: 40.0
Auction 327, won by: C, price paid: 9.0
Auction 328, won by: C, price paid: 5.0
Auction 329, won by: C, price paid: 16.0
Auction 330, won by: A, price paid: 10.0
Auction 331, won by: B, price paid: 13.0
Auction 332, won by: C, price paid: 47.0
Auction 333, won by: B, price paid: 6.0
Auction 334, won by: C, price paid: 4.0
Auction 335, won by: C, price paid: 22.0
Auction 336, won by: C, price paid: 8.0
Auction 337, won by: C, price paid: 8.0
Auction 338, won by: B, price paid: 9.0
Auction 339, won by: C, price paid: 9.0
Auction 340, won by: C, price paid: 6.0
Auction 341, won by: C, price paid: 13.0
Auction 342, won by: C, price paid: 32.0
Auction 343, won by: A, price paid: 15.0
Auction 344, won by: A, price paid: 9.0
Auction 345, won by: B, price paid: 12.0
Auction 346, won by: B, price paid: 9.0
Auction 347, won by: C, price paid: 14.0
Auction 348, won by: B, price paid: 75.0
Auction 349, won by: C, price paid: 13.0
Auction 350, won by: C, price paid: 13.0
Auction 351, won by: C, price paid: 13.0
Auction 352, won by: B, price paid: 18.0
Auction 353, won by: A, price paid: 8.0
Auction 354, won by: C, price paid: 4.0
Auction 355, won by: A, price paid: 11.0
Auction 356, won by: C, price paid: 10.0
Auction 357, won by: B, price paid: 21.0
Auction 358, won by: A, price paid: 18.0
Auction 359, won by: C, price paid: 10.0
Auction 360, won by: A, price paid: 19.0
Auction 361, won by: C, price paid: 5.0
Auction 362, won by: C, price paid: 7.0
Auction 363, won by: C, price paid: 12.0
Auction 364, won by: B, price paid: 8.0
Auction 365, won by: A, price paid: 11.0
Auction 366, won by: B, price paid: 14.0
Auction 367, won by: C, price paid: 8.0
Auction 368, won by: C, price paid: 8.0
Auction 369, won by: A, price paid: 16.0
Auction 370, won by: C, price paid: 19.0
Auction 371, won by: C, price paid: 5.0
Auction 372, won by: C, price paid: 15.0
Auction 373, won by: C, price paid: 9.0
Auction 374, won by: B, price paid: 15.0
Auction 375, won by: C, price paid: 13.0
Auction 376, won by: B, price paid: 24.0
Auction 377, won by: C, price paid: 12.0
Auction 378, won by: C, price paid: 20.0
Auction 379, won by: C, price paid: 12.0
Auction 380, won by: B, price paid: 14.0
Auction 381, won by: C, price paid: 24.0
Auction 382, won by: C, price paid: 12.0
Auction 383, won by: A, price paid: 22.0
Auction 384, won by: B, price paid: 10.0
Auction 385, won by: C, price paid: 38.0
Auction 386, won by: B, price paid: 9.0
Auction 387, won by: C, price paid: 10.0
Auction 388, won by: C, price paid: 18.0
Auction 389, won by: A, price paid: 27.0
Auction 390, won by: C, price paid: 17.0
Auction 391, won by: C, price paid: 34.0
Auction 392, won by: C, price paid: 9.0
Auction 393, won by: A, price paid: 13.0
Auction 394, won by: A, price paid: 9.0
Auction 395, won by: A, price paid: 9.0
Auction 396, won by: C, price paid: 8.0
Auction 397, won by: B, price paid: 14.0
Auction 398, won by: C, price paid: 27.0
Auction 399, won by: A, price paid: 11.0
Auction 400, won by: A, price paid: 25.0
Auction 401, won by: C, price paid: 9.0
Auction 402, won by: C, price paid: 7.0
Auction 403, won by: A, price paid: 12.0
Auction 404, won by: A, price paid: 12.0
Auction 405, won by: A, price paid: 11.0
Auction 406, won by: B, price paid: 15.0
Auction 407, won by: A, price paid: 6.0
Auction 408, won by: B, price paid: 16.0
Auction 409, won by: A, price paid: 5.0
Auction 410, won by: B, price paid: 14.0
Auction 411, won by: C, price paid: 11.0
Auction 412, won by: C, price paid: 9.0
Auction 413, won by: A, price paid: 8.0
Auction 414, won by: C, price paid: 5.0
Auction 415, won by: A, price paid: 24.0
Auction 416, won by: B, price paid: 18.0
Auction 417, won by: C, price paid: 11.0
Auction 418, won by: C, price paid: 17.0
Auction 419, won by: A, price paid: 7.0
Auction 420, won by: C, price paid: 5.0
Auction 421, won by: B, price paid: 5.0
Auction 422, won by: B, price paid: 6.0
Auction 423, won by: B, price paid: 24.0
Auction 424, won by: C, price paid: 6.0
Auction 425, won by: C, price paid: 12.0
Auction 426, won by: A, price paid: 15.0
Auction 427, won by: C, price paid: 17.0
Auction 428, won by: A, price paid: 44.0
Auction 429, won by: B, price paid: 4.0
Auction 430, won by: A, price paid: 17.0
Auction 431, won by: C, price paid: 11.0
Auction 432, won by: A, price paid: 24.0
Auction 433, won by: C, price paid: 5.0
Auction 434, won by: A, price paid: 28.0
Auction 435, won by: C, price paid: 7.0
Auction 436, won by: C, price paid: 9.0
Auction 437, won by: A, price paid: 6.0
Auction 438, won by: C, price paid: 18.0
Auction 439, won by: B, price paid: 39.0
Auction 440, won by: A, price paid: 9.0
Auction 441, won by: B, price paid: 6.0
Auction 442, won by: C, price paid: 10.0
Auction 443, won by: B, price paid: 36.0
Auction 444, won by: B, price paid: 19.0
Auction 445, won by: B, price paid: 25.0
Auction 446, won by: C, price paid: 13.0
Auction 447, won by: C, price paid: 9.0
Auction 448, won by: B, price paid: 14.0
Auction 449, won by: C, price paid: 24.0
Auction 450, won by: C, price paid: 23.0
Auction 451, won by: C, price paid: 6.0
Auction 452, won by: C, price paid: 9.0
Auction 453, won by: C, price paid: 17.0
Auction 454, won by: C, price paid: 15.0
Auction 455, won by: C, price paid: 7.0
Auction 456, won by: C, price paid: 12.0
Auction 457, won by: C, price paid: 21.0
Auction 458, won by: B, price paid: 21.0
Auction 459, won by: B, price paid: 15.0
Auction 460, won by: C, price paid: 35.0
Auction 461, won by: A, price paid: 21.0
Auction 462, won by: A, price paid: 12.0
Auction 463, won by: B, price paid: 11.0
Auction 464, won by: C, price paid: 10.0
Auction 465, won by: A, price paid: 9.0
Auction 466, won by: A, price paid: 8.0
Auction 467, won by: A, price paid: 8.0
Auction 468, won by: C, price paid: 4.0
Auction 469, won by: C, price paid: 14.0
Auction 470, won by: C, price paid: 5.0
Auction 471, won by: C, price paid: 7.0
Auction 472, won by: C, price paid: 7.0
Auction 473, won by: A, price paid: 8.0
Auction 474, won by: B, price paid: 13.0
Auction 475, won by: C, price paid: 19.0
Auction 476, won by: B, price paid: 8.0
Auction 477, won by: A, price paid: 5.0
Auction 478, won by: A, price paid: 15.0
Auction 479, won by: C, price paid: 7.0
Auction 480, won by: B, price paid: 13.0
Auction 481, won by: C, price paid: 5.0
Auction 482, won by: C, price paid: 28.0
Auction 483, won by: A, price paid: 12.0
Auction 484, won by: C, price paid: 30.0
Auction 485, won by: A, price paid: 21.0
Auction 486, won by: B, price paid: 7.0
Auction 487, won by: C, price paid: 11.0
Auction 488, won by: A, price paid: 22.0
Auction 489, won by: A, price paid: 5.0
Auction 490, won by: A, price paid: 33.0
Auction 491, won by: C, price paid: 8.0
Auction 492, won by: B, price paid: 4.0
Auction 493, won by: C, price paid: 15.0
Auction 494, won by: B, price paid: 16.0
Auction 495, won by: C, price paid: 30.0
Auction 496, won by: C, price paid: 18.0
Auction 497, won by: B, price paid: 8.0
Auction 498, won by: B, price paid: 8.0
Auction 499, won by: C, price paid: 9.0
Auction 500, won by: A, price paid: 12.0
Auction 501, won by: A, price paid: 8.0
Auction 502, won by: A, price paid: 8.0
Auction 503, won by: A, price paid: 11.0
Auction 504, won by: C, price paid: 7.0
Auction 505, won by: B, price paid: 20.0
Auction 506, won by: A, price paid: 21.0
Auction 507, won by: C, price paid: 6.0
Auction 508, won by: C, price paid: 40.0
Auction 509, won by: A, price paid: 21.0
Auction 510, won by: B, price paid: 29.0
Auction 511, won by: C, price paid: 10.0
Auction 512, won by: C, price paid: 9.0
Auction 513, won by: A, price paid: 7.0
Auction 514, won by: C, price paid: 5.0
Auction 515, won by: C, price paid: 8.0
Auction 516, won by: C, price paid: 7.0
Auction 517, won by: C, price paid: 14.0
Auction 518, won by: A, price paid: 22.0
Auction 519, won by: B, price paid: 35.0
Auction 520, won by: C, price paid: 12.0
Auction 521, won by: C, price paid: 8.0
Auction 522, won by: B, price paid: 13.0
Auction 523, won by: C, price paid: 11.0
Auction 524, won by: A, price paid: 13.0
Auction 525, won by: C, price paid: 16.0
Auction 526, won by: C, price paid: 14.0
Auction 527, won by: A, price paid: 7.0
Auction 528, won by: B, price paid: 5.0
Auction 529, won by: B, price paid: 6.0
Auction 530, won by: A, price paid: 9.0
Auction 531, won by: B, price paid: 20.0
Auction 532, won by: C, price paid: 6.0
Auction 533, won by: A, price paid: 9.0
Auction 534, won by: C, price paid: 7.0
Auction 535, won by: B, price paid: 16.0
Auction 536, won by: A, price paid: 32.0
Auction 537, won by: B, price paid: 50.0
Auction 538, won by: C, price paid: 28.0
Auction 539, won by: C, price paid: 10.0
Auction 540, won by: B, price paid: 22.0
Auction 541, won by: C, price paid: 40.0
Auction 542, won by: A, price paid: 7.0
Auction 543, won by: C, price paid: 14.0
Auction 544, won by: C, price paid: 11.0
Auction 545, won by: C, price paid: 7.0
Auction 546, won by: B, price paid: 7.0
Auction 547, won by: C, price paid: 19.0
Auction 548, won by: C, price paid: 5.0
Auction 549, won by: C, price paid: 9.0
Auction 550, won by: C, price paid: 12.0
Auction 551, won by: C, price paid: 13.0
Auction 552, won by: C, price paid: 15.0
Auction 553, won by: A, price paid: 9.0
Auction 554, won by: C, price paid: 7.0
Auction 555, won by: C, price paid: 19.0
Auction 556, won by: B, price paid: 18.0
Auction 557, won by: C, price paid: 21.0
Auction 558, won by: C, price paid: 12.0
Auction 559, won by: C, price paid: 20.0
Auction 560, won by: A, price paid: 4.0
Auction 561, won by: C, price paid: 15.0
Auction 562, won by: B, price paid: 3.0
Auction 563, won by: C, price paid: 6.0
Auction 564, won by: C, price paid: 21.0
Auction 565, won by: C, price paid: 14.0
Auction 566, won by: C, price paid: 12.0
Auction 567, won by: C, price paid: 14.0
Auction 568, won by: B, price paid: 8.0
Auction 569, won by: A, price paid: 16.0
Auction 570, won by: C, price paid: 13.0
Auction 571, won by: B, price paid: 26.0
Auction 572, won by: A, price paid: 21.0
Auction 573, won by: B, price paid: 8.0
Auction 574, won by: A, price paid: 8.0
Auction 575, won by: A, price paid: 20.0
Auction 576, won by: C, price paid: 14.0
Auction 577, won by: A, price paid: 20.0
Auction 578, won by: A, price paid: 14.0
Auction 579, won by: A, price paid: 15.0
Auction 580, won by: A, price paid: 10.0
Auction 581, won by: A, price paid: 19.0
Auction 582, won by: C, price paid: 7.0
Auction 583, won by: A, price paid: 11.0
Auction 584, won by: B, price paid: 11.0
Auction 585, won by: C, price paid: 25.0
Auction 586, won by: C, price paid: 20.0
Auction 587, won by: B, price paid: 16.0
Auction 588, won by: B, price paid: 28.0
Auction 589, won by: A, price paid: 11.0
Auction 590, won by: A, price paid: 15.0
Auction 591, won by: A, price paid: 6.0
Auction 592, won by: C, price paid: 6.0
Auction 593, won by: B, price paid: 19.0
Auction 594, won by: B, price paid: 3.0
Auction 595, won by: A, price paid: 3.0
Auction 596, won by: A, price paid: 18.0
Auction 597, won by: A, price paid: 6.0
Auction 598, won by: A, price paid: 12.0
Auction 599, won by: C, price paid: 15.0
Auction 600, won by: C, price paid: 25.0
Auction 601, won by: C, price paid: 6.0
Auction 602, won by: A, price paid: 27.0
Auction 603, won by: A, price paid: 22.0
Auction 604, won by: A, price paid: 21.0
Auction 605, won by: A, price paid: 20.0
Auction 606, won by: B, price paid: 43.0
Auction 607, won by: C, price paid: 11.0
Auction 608, won by: C, price paid: 10.0
Auction 609, won by: C, price paid: 17.0
Auction 610, won by: B, price paid: 15.0
Auction 611, won by: B, price paid: 10.0
Auction 612, won by: B, price paid: 13.0
Auction 613, won by: C, price paid: 9.0
Auction 614, won by: B, price paid: 28.0
Auction 615, won by: A, price paid: 6.0
Auction 616, won by: C, price paid: 12.0
Auction 617, won by: C, price paid: 5.0
Auction 618, won by: C, price paid: 5.0
Auction 619, won by: C, price paid: 12.0
Auction 620, won by: B, price paid: 10.0
Auction 621, won by: C, price paid: 15.0
Auction 622, won by: A, price paid: 8.0
Auction 623, won by: A, price paid: 15.0
Auction 624, won by: B, price paid: 14.0
Auction 625, won by: C, price paid: 23.0
Auction 626, won by: C, price paid: 10.0
Auction 627, won by: B, price paid: 23.0
Auction 628, won by: B, price paid: 4.0
Auction 629, won by: C, price paid: 17.0
Auction 630, won by: C, price paid: 12.0
Auction 631, won by: A, price paid: 13.0
Auction 632, won by: B, price paid: 9.0
Auction 633, won by: C, price paid: 11.0
Auction 634, won by: C, price paid: 4.0
Auction 635, won by: B, price paid: 40.0
Auction 636, won by: C, price paid: 8.0
Auction 637, won by: C, price paid: 26.0
Auction 638, won by: C, price paid: 29.0
Auction 639, won by: B, price paid: 14.0
Auction 640, won by: A, price paid: 8.0
Auction 641, won by: B, price paid: 5.0
Auction 642, won by: A, price paid: 20.0
Auction 643, won by: B, price paid: 14.0
Auction 644, won by: C, price paid: 12.0
Auction 645, won by: A, price paid: 18.0
Auction 646, won by: A, price paid: 15.0
Auction 647, won by: B, price paid: 10.0
Auction 648, won by: B, price paid: 7.0
Auction 649, won by: C, price paid: 7.0
Auction 650, won by: C, price paid: 9.0
Auction 651, won by: A, price paid: 45.0
Auction 652, won by: B, price paid: 7.0
Auction 653, won by: B, price paid: 12.0
Auction 654, won by: A, price paid: 6.0
Auction 655, won by: C, price paid: 7.0
Auction 656, won by: C, price paid: 11.0
Auction 657, won by: A, price paid: 17.0
Auction 658, won by: A, price paid: 23.0
Auction 659, won by: A, price paid: 15.0
Auction 660, won by: B, price paid: 11.0
Auction 661, won by: A, price paid: 9.0
Auction 662, won by: B, price paid: 4.0
Auction 663, won by: B, price paid: 9.0
Auction 664, won by: B, price paid: 5.0
Auction 665, won by: B, price paid: 9.0
Auction 666, won by: C, price paid: 11.0
Auction 667, won by: A, price paid: 9.0
Auction 668, won by: C, price paid: 14.0
Auction 669, won by: C, price paid: 12.0
Auction 670, won by: C, price paid: 14.0
Auction 671, won by: B, price paid: 14.0
Auction 672, won by: B, price paid: 23.0
Auction 673, won by: C, price paid: 11.0
Auction 674, won by: B, price paid: 5.0
Auction 675, won by: C, price paid: 7.0
Auction 676, won by: C, price paid: 11.0
Auction 677, won by: C, price paid: 17.0
Auction 678, won by: A, price paid: 3.0
Auction 679, won by: C, price paid: 15.0
Auction 680, won by: B, price paid: 17.0
Auction 681, won by: C, price paid: 38.0
Auction 682, won by: C, price paid: 6.0
Auction 683, won by: C, price paid: 6.0
Auction 684, won by: A, price paid: 22.0
Auction 685, won by: C, price paid: 17.0
Auction 686, won by: C, price paid: 10.0
Auction 687, won by: A, price paid: 10.0
Auction 688, won by: C, price paid: 26.0
Auction 689, won by: C, price paid: 10.0
Auction 690, won by: B, price paid: 35.0
Auction 691, won by: A, price paid: 21.0
Auction 692, won by: A, price paid: 10.0
Auction 693, won by: C, price paid: 17.0
Auction 694, won by: A, price paid: 11.0
Auction 695, won by: C, price paid: 17.0
Auction 696, won by: C, price paid: 8.0
Auction 697, won by: C, price paid: 17.0
Auction 698, won by: A, price paid: 33.0
Auction 699, won by: B, price paid: 7.0
Auction 700, won by: B, price paid: 21.0
Auction 701, won by: C, price paid: 26.0
Auction 702, won by: A, price paid: 22.0
Auction 703, won by: A, price paid: 14.0
Auction 704, won by: A, price paid: 15.0
Auction 705, won by: A, price paid: 8.0
Auction 706, won by: C, price paid: 7.0
Auction 707, won by: A, price paid: 11.0
Auction 708, won by: A, price paid: 6.0
Auction 709, won by: C, price paid: 23.0
Auction 710, won by: C, price paid: 18.0
Auction 711, won by: B, price paid: 4.0
Auction 712, won by: C, price paid: 7.0
Auction 713, won by: C, price paid: 6.0
Auction 714, won by: A, price paid: 14.0
Auction 715, won by: B, price paid: 7.0
Auction 716, won by: A, price paid: 32.0
Auction 717, won by: A, price paid: 4.0
Auction 718, won by: C, price paid: 14.0
Auction 719, won by: B, price paid: 25.0
Auction 720, won by: B, price paid: 7.0
Auction 721, won by: A, price paid: 4.0
Auction 722, won by: C, price paid: 29.0
Auction 723, won by: C, price paid: 7.0
Auction 724, won by: C, price paid: 16.0
Auction 725, won by: A, price paid: 33.0
Auction 726, won by: C, price paid: 34.0
Auction 727, won by: C, price paid: 10.0
Auction 728, won by: A, price paid: 42.0
Auction 729, won by: C, price paid: 14.0
Auction 730, won by: C, price paid: 5.0
Auction 731, won by: C, price paid: 5.0
Auction 732, won by: C, price paid: 4.0
Auction 733, won by: C, price paid: 17.0
Auction 734, won by: A, price paid: 77.0
Auction 735, won by: C, price paid: 8.0
Auction 736, won by: B, price paid: 12.0
Auction 737, won by: A, price paid: 29.0
Auction 738, won by: A, price paid: 11.0
Auction 739, won by: A, price paid: 6.0
Auction 740, won by: C, price paid: 29.0
Auction 741, won by: B, price paid: 23.0
Auction 742, won by: C, price paid: 10.0
Auction 743, won by: C, price paid: 10.0
Auction 744, won by: B, price paid: 15.0
Auction 745, won by: C, price paid: 4.0
Auction 746, won by: A, price paid: 25.0
Auction 747, won by: C, price paid: 13.0
Auction 748, won by: C, price paid: 10.0
Auction 749, won by: C, price paid: 5.0
Auction 750, won by: C, price paid: 19.0
Auction 751, won by: B, price paid: 5.0
Auction 752, won by: A, price paid: 20.0
Auction 753, won by: A, price paid: 18.0
Auction 754, won by: C, price paid: 10.0
Auction 755, won by: C, price paid: 5.0
Auction 756, won by: C, price paid: 12.0
Auction 757, won by: A, price paid: 25.0
Auction 758, won by: A, price paid: 15.0
Auction 759, won by: B, price paid: 18.0
Auction 760, won by: A, price paid: 18.0
Auction 761, won by: C, price paid: 14.0
Auction 762, won by: B, price paid: 28.0
Auction 763, won by: C, price paid: 14.0
Auction 764, won by: A, price paid: 7.0
Auction 765, won by: C, price paid: 30.0
Auction 766, won by: A, price paid: 10.0
Auction 767, won by: C, price paid: 10.0
Auction 768, won by: C, price paid: 39.0
Auction 769, won by: A, price paid: 17.0
Auction 770, won by: C, price paid: 23.0
Auction 771, won by: A, price paid: 8.0
Auction 772, won by: C, price paid: 16.0
Auction 773, won by: C, price paid: 16.0
Auction 774, won by: A, price paid: 16.0
Auction 775, won by: C, price paid: 22.0
Auction 776, won by: B, price paid: 6.0
Auction 777, won by: A, price paid: 14.0
Auction 778, won by: C, price paid: 19.0
Auction 779, won by: C, price paid: 6.0
Auction 780, won by: B, price paid: 10.0
Auction 781, won by: C, price paid: 17.0
Auction 782, won by: C, price paid: 11.0
Auction 783, won by: B, price paid: 22.0
Auction 784, won by: B, price paid: 56.0
Auction 785, won by: C, price paid: 19.0
Auction 786, won by: A, price paid: 11.0
Auction 787, won by: B, price paid: 10.0
Auction 788, won by: A, price paid: 16.0
Auction 789, won by: C, price paid: 18.0
Auction 790, won by: A, price paid: 11.0
Auction 791, won by: C, price paid: 26.0
Auction 792, won by: B, price paid: 9.0
Auction 793, won by: C, price paid: 12.0
Auction 794, won by: C, price paid: 40.0
Auction 795, won by: C, price paid: 6.0
Auction 796, won by: C, price paid: 10.0
Auction 797, won by: A, price paid: 22.0
Auction 798, won by: C, price paid: 8.0
